
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
AND                              AND1                              16   1      1   1   1 1           1 0 OpSel0A,OpSel1      (22-31-13)
AND                              AND1                              16   1      2   2   1 2           2 0 OpSel0B             (22-32-13)
AND                              AND1                              16   1      3   3   1 3           3 0 0_12                (2-59-13)
AND                              AND1                              16   1      4   4   1 4           4 0 0_1                 (2-58-13)
AND                              AND1                              16   1      5   5   1 5           5 0 C0                  (2-51-13)
AND                              AND1                              16   1      6   6   1 6           6 0 0_13                (2-60-13)
AND                              AND1                              16   1      7   7   1 13         13 0                     (0-0-0)
AND                              AND1                              16   1      8   8   1 12         12 0                     (0-0-0)
AND                              AND1                              16   1      9   9   1 11         11 0                     (0-0-0)
AND                              AND1                              16   1     10  10   1 10         10 0                     (0-0-0)
AND                              AND1                              16   1     11  11   1 9           9 0                     (0-0-0)
AND                              AND1                              16   1     12  12   1 8           8 0                     (0-0-0)
AND                              AND1                               0   2      1   1   2 14         14 1 VCC                 (0-0-0)
AND                              AND1                               0   3      1   1   3 7           7 1 GND                 (0-0-0)
AND                              AND2                              15   1      1   1   1 1           1 0 OpSel1A             (22-33-13)
AND                              AND2                              15   1      2   2   1 2           2 0 OpSel1B             (22-35-13)
AND                              AND2                              15   1      3   3   1 3           3 0 1_12                (2-62-13)
AND                              AND2                              15   1      4   4   1 4           4 0 1_1                 (2-61-13)
AND                              AND2                              15   1      5   5   1 5           5 0 C1                  (2-52-13)
AND                              AND2                              15   1      6   6   1 6           6 0 1_13                (2-63-13)
AND                              AND2                              15   1      7   7   1 13         13 0                     (0-0-0)
AND                              AND2                              15   1      8   8   1 12         12 0                     (0-0-0)
AND                              AND2                              15   1      9   9   1 11         11 0                     (0-0-0)
AND                              AND2                              15   1     10  10   1 10         10 0                     (0-0-0)
AND                              AND2                              15   1     11  11   1 9           9 0                     (0-0-0)
AND                              AND2                              15   1     12  12   1 8           8 0                     (0-0-0)
AND                              AND2                               0   2      1   1   2 14         14 1 VCC                 (0-0-0)
AND                              AND2                               0   3      1   1   3 7           7 1 GND                 (0-0-0)
AND                              AND3                              13   1      1   1   1 1           1 0 OpSel2A             (22-34-13)
AND                              AND3                              13   1      2   2   1 2           2 0 OpSel2B             (22-40-13)
AND                              AND3                              13   1      3   3   1 3           3 0 2_12                (2-65-13)
